Manufacturer,Model,Description,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,CO2 g/km
ABARTH,500,595 & 595C Auto.,Petrol,8.4,5.4,6.5,151
ABARTH,500,595 & 595C Manual,Petrol,8.5,5.4,6.5,155
ABARTH,500,Abarth 500 & 500C,Petrol,8.5,5.4,6.5,155
ABARTH,500,Abarth 500 & 500C ,Petrol,8.4,5.4,6.5,151
ABARTH,500,Abarth 595 & 695C 180 bhp,Petrol,8.4,5.4,6.5,151
ABARTH,Punto Evo,1.4 16v Turbo MultiAir 165,Petrol,8,5,6.1,142
ALFA ROMEO,Giulietta,1.4 TB 120 bhp,Petrol,8.4,5.3,6.4,149
ALFA ROMEO,Giulietta,1.4 TB MultiAir 170 bhp,Petrol,7.8,4.6,5.8,134
ALFA ROMEO,Giulietta,1.4 TB MultiAir 170 bhp Alfa TCT,Petrol,6.7,4.3,5.2,121
ALFA ROMEO,Giulietta,1.6 JTDm-2 105 bhp 2014 Onwards,Diesel,5,3.4,4,104
ALFA ROMEO,Giulietta,1750 TBi 235 bhp,Petrol,10.8,5.8,7.6,177
ALFA ROMEO,Giulietta,2.0 JTDm-2 140 bhp,Diesel,5.6,3.9,4.5,119
ALFA ROMEO,Giulietta,2.0 JTDM-2 150 bhp,Diesel,5,3.7,4.2,110
ALFA ROMEO,Giulietta,2.0 JTDm-2 170 bhp ,Diesel,5.8,4.1,4.7,124
ALFA ROMEO,Giulietta,2.0 JTDm-2 170 bhp Alfa TCT,Diesel,5.3,4,4.5,119
ALFA ROMEO,Giulietta,2.0 JTDm-2 175 bhp Alfa TCT,Diesel,5.2,3.9,4.4,116
ALFA ROMEO,MiTo,1.3 JTDm-2 85 bhp,Diesel,4.4,2.9,3.5,90
ALFA ROMEO,MiTo,1.4 8v 78 bhp,Petrol,7.3,4.6,5.6,130
ALFA ROMEO,MiTo,1.4 MultiAir 105 bhp,Petrol,7.5,4.7,5.7,134
ALFA ROMEO,MiTo,1.4 TB MultiAir 135 bhp,Petrol,7.3,4.4,5.5,128
ALFA ROMEO,MiTo,1.4 TB MultiAir 135 bhp Alfa TCT,Petrol,7.1,4.5,5.5,126
ALFA ROMEO,MiTo,1.4 TB MultiAir 170 bhp,Petrol,8.1,4.8,6,139
ALFA ROMEO,MiTo,1.6 JTDm-2 120 bhp,Diesel,5.3,3.8,4.4,114
ALFA ROMEO,MiTo,1.6 JTDm-2 120 bhp Oct 2013 Onwards - Euro 5+,Diesel,5.2,3.7,4.3,112
ALFA ROMEO,MiTo,875cc TB TwinAir 85 bhp,Petrol,4.9,3.8,4.2,98
ASTON MARTIN LAGONDA,Cygnet,Hatchback Auto.,Petrol,6.1,4.6,5.2,120
ASTON MARTIN LAGONDA,Cygnet,Hatchback Manual,Petrol,5.8,4.5,5,116
ASTON MARTIN LAGONDA,DB9,Coupé & Convertible 2013 onwards,Petrol,21.6,10,14.3,333
ASTON MARTIN LAGONDA,DB9,Coupé & Convertible March 2010 onwards Auto.,Petrol,22.3,10.2,14.6,345
